,Panel,Static
485,WEST PHARMACEUTICAL,"WEST PHARMACEUTICAL SERVICES, INC."
486,WESTERN DIGITAL,WESTERN DIGITAL CORPORATION
487,WEYERHAEUSER,WEYERHAEUSER CO
488,WILLIAMS,WILLIAMS COMPANIES INC
489,WILLIAMS-SONOMA,"WILLIAMS-SONOMA, INC."
490,WILLIS TOWERS WATSON,WILLIS TOWERS WATSON PLC
491,WORKDAY,WORKDAY INC
492,WW GRAINGER,WW GRAINGER INC
493,WYNN RESORTS,WYNN RESORTS LTD
494,XCEL ENERGY,XCEL ENERGY INC.
495,XYLEM,XYLEM INC
496,YUM! BRANDS,"YUM! BRANDS, INC."
497,ZEBRA TECHNOLOGIES,ZEBRA TECHNOLOGIES CORPORATION
498,ZIMMER BIOMET,ZIMMER BIOMET HOLDINGS INC
499,ZOETIS,ZOETIS INC
